Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Canada,2012,Parkinson's Disease,Neurological,11.93,9.59,8.02,19-35,Female,3065,71.44,4.6,3.57,Vaccination,17700,No,80.02,840,7.9,22676,0.45,39.21
China,2023,Diabetes,Metabolic,0.45,10.4,5.38,19-35,Other,711237,53.01,4.68,3.53,Surgery,10321,Yes,60.19,3841,7.42,51400,0.68,24.5
Russia,2006,Alzheimer's Disease,Autoimmune,0.22,3.72,4.92,36-60,Other,679480,95.7,1.02,9.73,Medication,12001,No,96.94,1549,0.58,78314,0.79,24.73
Germany,2011,Diabetes,Parasitic,1.92,11.54,7.43,61+,Other,522804,70.53,1.29,3.3,Therapy,20308,Yes,62.91,619,2.13,83321,0.47,40.6
Saudi Arabia,2003,Leprosy,Respiratory,6.9,8.54,0.64,19-35,Male,54587,82.82,3.14,2.48,Surgery,36063,Yes,56.93,4831,5.41,71531,0.58,59.24
Saudi Arabia,2023,Influenza,Respiratory,8.08,4.28,5.23,0-18,Female,378283,57.4,2.75,9.52,Therapy,4816,No,79.94,1099,7.99,96103,0.45,79.5
Italy,2014,Measles,Neurological,10.05,7.11,3.8,0-18,Female,141436,57.19,2.49,8.94,Vaccination,48076,Yes,74.01,4569,2.42,86164,0.51,61.74
Russia,2000,Rabies,Respiratory,8.79,11.3,8.32,61+,Male,619998,94.51,1.54,6.88,Surgery,37654,No,80.52,4802,1.39,84767,0.63,48.66
Saudi Arabia,2010,Alzheimer's Disease,Respiratory,16.66,13.12,7.11,61+,Female,524226,86.17,4.14,6.68,Therapy,25281,Yes,65.5,3139,4.45,21036,0.54,29.01
Argentina,2024,Malaria,Respiratory,13.12,1.76,6.68,19-35,Female,985048,57.0,4.26,0.57,Surgery,42824,No,91.88,2027,5.21,14051,0.69,80.22
Australia,2007,Hepatitis,Genetic,1.41,5.41,5.56,19-35,Other,8979,50.88,1.6,8.95,Medication,41659,No,55.6,3627,3.55,73536,0.65,36.45
Argentina,2005,Diabetes,Viral,14.14,4.63,4.68,0-18,Other,553149,92.02,2.15,3.13,Vaccination,6219,No,72.84,1358,6.54,42720,0.9,28.98
Nigeria,2024,Hepatitis,Parasitic,7.21,4.24,8.34,0-18,Male,779364,93.66,3.99,3.21,Vaccination,2744,Yes,85.42,3010,5.05,10330,0.48,59.04
France,2021,Parkinson's Disease,Cardiovascular,16.69,5.97,2.84,0-18,Male,904729,98.65,1.56,4.04,Therapy,32291,Yes,94.26,4234,5.71,42171,0.69,59.84
Australia,2009,Influenza,Metabolic,7.93,0.5,1.42,61+,Female,208471,53.72,1.79,1.81,Vaccination,11401,No,67.08,1977,1.69,97442,0.54,29.38
Canada,2014,Diabetes,Metabolic,7.01,6.16,1.38,61+,Male,383643,61.22,0.75,0.8,Medication,18259,Yes,83.87,50,7.99,75839,0.52,53.02
Saudi Arabia,2024,Cancer,Viral,2.51,14.22,3.42,36-60,Female,958666,77.4,4.16,1.35,Vaccination,13789,Yes,56.11,2092,8.71,73831,0.47,45.77
Saudi Arabia,2005,Zika,Infectious,15.21,8.5,4.63,61+,Female,836799,55.12,0.51,9.45,Surgery,38481,No,95.62,2462,8.41,50388,0.83,60.13
South Korea,2023,Measles,Neurological,9.89,13.59,1.93,0-18,Other,244799,76.67,1.23,7.19,Medication,46407,No,76.77,2740,8.75,6532,0.67,87.47
Brazil,2013,COVID-19,Genetic,3.14,14.15,6.48,0-18,Female,60389,50.71,0.86,8.94,Vaccination,6008,No,80.9,2843,9.53,90996,0.64,52.34
South Korea,2006,Influenza,Chronic,18.48,9.56,2.84,0-18,Male,905381,51.5,4.1,5.3,Vaccination,44267,Yes,84.03,392,4.64,93278,0.58,23.4
Brazil,2011,Asthma,Chronic,14.55,7.97,0.33,61+,Other,967035,81.36,1.27,4.14,Therapy,49423,Yes,60.63,171,5.25,73598,0.68,69.61
Australia,2001,Malaria,Parasitic,17.76,1.16,6.08,36-60,Male,138721,75.57,0.85,2.49,Surgery,36715,Yes,70.79,3111,3.07,15750,0.78,68.84
UK,2005,Zika,Infectious,18.83,5.74,2.3,0-18,Male,640450,50.46,1.87,5.87,Therapy,4943,No,70.95,752,8.5,62521,0.84,87.53
Argentina,2016,Tuberculosis,Viral,12.19,6.1,5.0,0-18,Female,193124,53.23,2.35,4.27,Vaccination,13422,No,59.62,3380,5.63,91848,0.87,48.79
USA,2020,Leprosy,Parasitic,16.04,12.31,8.69,36-60,Male,712226,64.3,0.93,4.63,Surgery,27555,Yes,63.47,504,9.29,19732,0.82,22.13
USA,2002,Influenza,Cardiovascular,8.88,14.52,9.17,0-18,Male,404526,91.56,2.54,4.51,Surgery,42091,No,76.33,4137,0.69,65427,0.79,56.49
South Korea,2011,Hypertension,Viral,19.17,9.25,2.13,61+,Male,217589,50.58,4.06,9.94,Surgery,36518,Yes,51.72,3315,5.77,10296,0.51,22.86
Saudi Arabia,2023,Cancer,Autoimmune,18.07,5.44,6.75,19-35,Other,175498,65.0,0.96,3.17,Medication,34539,Yes,63.5,1189,6.66,61346,0.48,71.79
Australia,2014,Tuberculosis,Autoimmune,19.16,13.83,4.72,0-18,Female,238636,97.37,2.0,0.53,Therapy,39252,No,75.55,4399,7.77,28321,0.56,63.27
UK,2018,Rabies,Infectious,4.17,4.04,5.07,0-18,Male,267241,95.28,3.22,5.75,Vaccination,20005,Yes,60.1,2388,0.24,48225,0.49,34.89
Germany,2015,Rabies,Chronic,13.52,1.02,3.35,61+,Other,164654,52.87,1.11,8.08,Medication,16790,No,55.25,3698,9.63,94539,0.77,72.42
South Korea,2005,Zika,Cardiovascular,13.69,3.15,0.51,19-35,Other,553126,52.14,0.94,4.81,Surgery,10689,Yes,52.87,1019,4.55,5712,0.71,33.2
Nigeria,2008,Leprosy,Bacterial,17.08,0.67,9.84,0-18,Male,511914,98.67,3.36,6.72,Surgery,36520,No,91.94,3864,3.72,13133,0.84,23.85
Canada,2020,Dengue,Metabolic,17.9,14.33,1.09,61+,Male,680332,64.31,3.49,1.85,Vaccination,20842,No,88.15,4268,3.98,52474,0.82,36.43
Australia,2014,Rabies,Respiratory,15.9,13.09,9.79,36-60,Female,160277,66.91,3.57,9.07,Surgery,36478,Yes,94.23,2181,5.02,60584,0.58,41.3
Mexico,2015,Measles,Viral,1.1,8.16,4.91,36-60,Female,532644,94.87,3.19,3.89,Medication,35529,No,86.3,2710,2.63,39697,0.53,86.25
USA,2000,Measles,Infectious,14.14,5.57,2.0,36-60,Male,251342,91.13,4.13,5.38,Surgery,29587,Yes,53.08,4033,5.12,86040,0.47,29.43
France,2018,Hepatitis,Autoimmune,8.63,8.79,5.08,36-60,Male,511655,75.12,1.32,6.87,Medication,48576,Yes,82.87,2966,7.92,71981,0.67,63.13
USA,2002,Leprosy,Genetic,3.7,4.88,6.97,36-60,Female,67465,88.11,0.61,3.73,Medication,23619,Yes,65.45,784,5.49,93349,0.71,61.7
Turkey,2022,Cancer,Cardiovascular,13.71,1.48,3.46,61+,Male,260202,50.02,4.76,4.55,Vaccination,31144,No,79.68,2269,0.31,96451,0.43,65.94
India,2006,Leprosy,Viral,0.92,5.16,8.8,0-18,Male,652942,77.58,1.99,4.92,Medication,42293,No,52.91,1960,2.93,34927,0.84,40.77
Canada,2007,Leprosy,Metabolic,8.09,7.12,5.36,36-60,Male,826897,95.86,3.54,9.14,Medication,25642,No,60.28,3734,4.96,48107,0.88,76.35
Italy,2017,Cholera,Chronic,17.17,8.8,6.7,19-35,Female,349106,52.41,4.16,9.77,Surgery,47476,Yes,95.36,4110,6.33,1378,0.54,28.13
Argentina,2011,Alzheimer's Disease,Respiratory,11.45,1.78,0.74,61+,Female,940910,77.65,1.98,5.17,Vaccination,8180,Yes,81.75,3092,4.12,58622,0.54,64.68
India,2010,Measles,Bacterial,19.22,0.2,4.35,36-60,Male,804962,77.8,0.93,3.98,Therapy,7668,Yes,89.23,4503,3.17,78907,0.48,82.42
France,2013,Alzheimer's Disease,Autoimmune,0.57,7.12,5.03,36-60,Male,583084,63.97,0.91,2.23,Vaccination,686,Yes,68.8,3014,3.5,14291,0.85,28.58
China,2001,Ebola,Chronic,6.51,4.61,6.37,61+,Other,276033,96.45,0.91,7.76,Medication,42319,Yes,86.63,522,9.15,40269,0.45,27.78
Nigeria,2014,HIV/AIDS,Viral,10.15,13.86,8.94,61+,Other,32940,87.23,3.36,1.87,Therapy,10991,Yes,62.7,3058,9.13,1342,0.6,50.61
France,2009,Measles,Bacterial,15.7,5.82,8.17,19-35,Female,23555,52.72,0.94,8.01,Medication,42074,No,53.4,2928,7.17,92012,0.41,22.48
South Africa,2010,Ebola,Parasitic,19.5,4.06,7.89,36-60,Male,657572,86.09,2.78,3.11,Therapy,1366,No,75.21,2355,7.1,3110,0.9,88.16
Saudi Arabia,2017,COVID-19,Bacterial,15.1,3.93,2.49,36-60,Other,889536,99.47,3.95,3.93,Therapy,20251,No,87.07,4190,7.41,66114,0.67,61.49
Canada,2009,Malaria,Cardiovascular,7.85,13.28,1.76,61+,Other,685078,89.17,1.25,7.93,Vaccination,21257,Yes,66.01,1231,9.78,34413,0.89,81.66
USA,2015,Leprosy,Parasitic,5.56,6.35,1.34,0-18,Male,42751,67.77,2.96,4.24,Surgery,43912,No,59.6,1752,9.56,75858,0.66,67.7
USA,2002,Zika,Chronic,4.87,6.9,1.2,36-60,Other,659484,53.5,3.32,8.36,Vaccination,26557,Yes,95.91,4308,2.1,77403,0.72,67.48
China,2015,Alzheimer's Disease,Infectious,0.5,5.56,7.96,61+,Other,7642,82.75,2.18,1.84,Therapy,24400,Yes,60.95,4211,4.07,50182,0.76,41.97
Argentina,2022,COVID-19,Cardiovascular,10.05,12.01,3.1,36-60,Female,206353,80.52,0.94,6.39,Therapy,10755,No,91.61,2020,4.61,14947,0.85,61.52
South Africa,2014,Ebola,Viral,18.17,7.81,9.63,19-35,Other,384285,90.86,3.38,6.48,Surgery,33973,Yes,62.92,4444,7.43,84048,0.59,47.56
Australia,2016,Leprosy,Neurological,8.84,1.09,9.06,36-60,Other,645229,83.44,4.19,0.85,Surgery,6707,No,76.63,1021,8.27,76726,0.46,48.37
Indonesia,2005,Polio,Chronic,2.76,8.31,1.05,61+,Other,690412,61.32,0.8,6.2,Vaccination,2918,No,53.55,2651,1.43,35012,0.71,53.1
France,2007,Malaria,Parasitic,1.89,7.87,1.32,19-35,Male,815606,98.78,4.72,3.29,Therapy,32777,No,91.54,1195,8.32,13407,0.65,62.23
Germany,2011,Leprosy,Bacterial,1.47,11.01,2.65,0-18,Female,780665,56.87,3.17,4.73,Therapy,38119,No,94.83,1601,3.59,45537,0.46,24.36
Mexico,2015,Malaria,Autoimmune,2.75,14.97,3.2,36-60,Other,141104,52.41,2.84,9.74,Therapy,25883,Yes,86.92,3943,0.23,68570,0.82,66.88
India,2003,Alzheimer's Disease,Autoimmune,4.06,11.84,9.06,61+,Male,707582,92.27,3.09,3.52,Medication,14583,Yes,50.54,1107,6.12,25592,0.56,52.77
Indonesia,2007,Dengue,Cardiovascular,2.31,0.42,3.85,36-60,Male,585169,58.4,1.17,8.12,Surgery,20933,Yes,98.58,4247,4.15,22273,0.84,24.39
Indonesia,2019,Measles,Viral,5.61,0.48,2.88,19-35,Female,594573,63.85,2.4,2.94,Surgery,4984,Yes,68.94,4401,1.07,60153,0.88,34.37
Italy,2002,Cancer,Parasitic,5.47,7.19,9.02,61+,Female,198907,81.01,4.48,1.46,Therapy,48116,No,79.06,4131,3.07,47059,0.87,66.09
Saudi Arabia,2023,HIV/AIDS,Infectious,18.96,6.25,8.22,19-35,Male,1316,78.47,2.91,2.05,Medication,36149,No,80.87,2985,0.91,40526,0.51,77.74
South Africa,2004,Cholera,Infectious,16.77,9.37,6.68,61+,Male,327279,51.38,4.53,6.27,Medication,49646,No,54.24,4422,8.05,79277,0.64,22.05
UK,2019,Cholera,Chronic,8.36,14.02,0.46,19-35,Female,74598,56.41,3.82,3.59,Vaccination,42264,Yes,87.81,3157,8.55,59740,0.58,65.45
Nigeria,2003,Leprosy,Cardiovascular,16.67,5.99,2.68,19-35,Other,549228,59.81,3.97,4.72,Vaccination,7641,No,50.85,2349,9.67,43316,0.74,87.82
Saudi Arabia,2017,Hepatitis,Cardiovascular,9.6,3.92,9.61,61+,Male,224716,96.91,0.86,1.13,Vaccination,31230,No,54.78,3777,5.51,36138,0.71,32.44
Indonesia,2010,Hypertension,Metabolic,18.82,10.03,7.66,61+,Male,823427,61.59,2.0,4.6,Surgery,47458,Yes,75.5,2225,6.96,6132,0.78,64.76
Brazil,2008,Malaria,Metabolic,8.96,9.14,9.56,0-18,Other,473749,71.04,2.72,5.23,Vaccination,48651,No,72.44,2633,1.47,63313,0.73,68.54
Australia,2019,Cholera,Chronic,4.63,9.5,7.71,61+,Female,534277,64.78,1.87,3.88,Surgery,19928,Yes,67.93,3563,4.13,57703,0.42,28.31
Russia,2022,HIV/AIDS,Cardiovascular,7.75,4.3,2.67,0-18,Female,366211,75.52,2.41,6.67,Medication,29061,Yes,71.21,3406,3.28,96963,0.87,24.18
UK,2017,Rabies,Viral,9.04,12.73,5.31,19-35,Male,74603,83.67,1.31,0.73,Therapy,6560,No,62.04,2241,9.64,91520,0.59,41.37
Turkey,2023,Leprosy,Bacterial,5.44,2.41,3.54,36-60,Male,718844,80.86,2.04,5.12,Surgery,43482,No,74.46,2998,6.77,39913,0.57,37.71
Brazil,2021,COVID-19,Chronic,10.63,6.79,8.22,61+,Male,693098,65.25,4.56,4.06,Vaccination,5755,Yes,82.7,2139,3.32,44740,0.69,67.45
Brazil,2003,Leprosy,Bacterial,9.14,3.03,2.03,61+,Female,993313,74.71,2.06,5.86,Therapy,45642,No,79.86,3198,7.46,31885,0.54,72.86
India,2020,COVID-19,Bacterial,14.29,11.08,4.89,61+,Other,100477,74.7,4.91,8.35,Medication,45466,No,78.56,3984,1.3,42732,0.81,67.84
Mexico,2004,Influenza,Chronic,4.97,7.04,8.37,36-60,Male,520087,76.75,2.16,8.29,Therapy,33987,Yes,74.91,3128,0.75,55709,0.54,47.43
South Korea,2023,Leprosy,Respiratory,19.13,2.95,2.43,0-18,Other,690547,88.31,3.97,7.95,Medication,27423,Yes,90.42,703,9.17,93239,0.51,72.46
Saudi Arabia,2018,Polio,Parasitic,12.37,4.2,4.84,61+,Female,40846,50.86,4.05,2.58,Vaccination,37383,Yes,64.84,4612,7.34,10590,0.4,28.07
Nigeria,2011,Hepatitis,Viral,0.74,6.05,1.07,36-60,Other,508546,97.75,4.46,4.04,Vaccination,20472,No,92.43,4266,9.89,8977,0.45,26.22
Australia,2004,Tuberculosis,Infectious,14.11,3.72,2.41,36-60,Male,430833,66.92,3.72,4.78,Medication,26656,No,89.62,1415,8.47,96028,0.44,34.95
UK,2011,Influenza,Bacterial,9.69,1.51,0.6,19-35,Other,258350,95.53,2.13,3.17,Vaccination,33322,Yes,54.64,4183,7.4,37843,0.86,21.82
UK,2004,Dengue,Metabolic,16.07,9.02,4.95,36-60,Male,151139,94.96,0.91,3.46,Medication,32819,No,70.89,4014,6.04,95761,0.61,44.8
India,2011,Dengue,Cardiovascular,11.46,9.92,7.74,61+,Other,735454,95.66,3.7,2.4,Medication,47828,No,54.46,531,2.33,76537,0.69,23.92
Mexico,2002,COVID-19,Neurological,17.7,0.83,1.56,0-18,Other,573821,53.74,1.41,1.31,Vaccination,1338,Yes,66.7,369,9.05,66840,0.73,21.28
Mexico,2015,Cancer,Bacterial,18.12,0.38,2.8,61+,Male,559284,72.6,2.91,1.48,Vaccination,27739,No,87.3,3790,9.16,18770,0.58,56.71
South Africa,2007,Alzheimer's Disease,Infectious,18.08,2.77,0.8,19-35,Female,572929,82.13,3.41,2.69,Surgery,33735,Yes,89.05,3885,2.0,94190,0.88,40.91
China,2012,Rabies,Autoimmune,17.01,8.94,9.93,19-35,Male,463207,99.9,3.83,6.72,Therapy,40692,Yes,75.36,3229,8.75,9653,0.52,27.74
Russia,2010,Malaria,Neurological,11.77,8.09,8.09,36-60,Male,582298,54.86,3.94,9.22,Medication,7066,No,51.39,2715,4.32,96214,0.79,63.78
Indonesia,2019,Rabies,Parasitic,19.67,3.16,7.0,61+,Female,885464,79.49,2.21,7.13,Surgery,40669,Yes,94.72,1228,4.36,42044,0.66,76.63
Saudi Arabia,2007,Cancer,Metabolic,17.08,11.58,6.47,36-60,Other,29098,51.89,0.55,2.04,Surgery,31536,Yes,54.91,3077,2.48,19557,0.54,29.52
Australia,2012,Influenza,Genetic,0.72,6.04,7.53,36-60,Female,404713,93.05,0.83,6.86,Surgery,28404,Yes,97.01,3584,4.87,43448,0.46,39.99
South Korea,2015,Parkinson's Disease,Genetic,8.89,7.97,4.03,61+,Male,543863,98.09,2.02,6.78,Therapy,8520,Yes,70.69,3897,2.84,77350,0.48,32.61
Nigeria,2012,HIV/AIDS,Genetic,19.28,5.73,3.78,61+,Other,681999,80.44,4.82,9.99,Surgery,17192,No,72.01,1514,1.27,25791,0.8,64.6
Japan,2011,Cholera,Chronic,4.61,10.76,8.54,61+,Male,709401,82.43,3.99,2.24,Surgery,41166,Yes,96.91,171,8.57,91857,0.83,72.04
South Africa,2014,HIV/AIDS,Autoimmune,18.27,4.12,5.84,0-18,Female,947340,61.46,1.16,0.64,Medication,9977,No,68.57,3240,0.55,70441,0.44,59.06
USA,2006,Rabies,Genetic,12.88,0.73,1.71,0-18,Female,918942,87.44,3.07,8.91,Surgery,18592,No,97.59,1668,2.73,81898,0.62,33.87
Italy,2013,Alzheimer's Disease,Chronic,14.69,0.56,2.37,0-18,Other,450395,58.8,0.64,7.09,Surgery,45669,No,85.83,3044,2.4,19058,0.86,36.44
China,2002,Rabies,Metabolic,0.79,0.61,6.24,61+,Other,700590,95.95,2.77,0.54,Surgery,49590,Yes,86.79,1891,6.12,84777,0.43,35.87
Turkey,2024,Measles,Infectious,14.59,1.85,7.61,19-35,Female,513750,91.52,1.56,8.18,Vaccination,8934,Yes,58.05,4097,9.5,20843,0.67,66.75
Indonesia,2000,Dengue,Metabolic,1.49,9.91,1.98,36-60,Other,611682,73.43,3.47,7.94,Therapy,36893,No,54.1,3322,1.77,36408,0.51,89.3
Brazil,2020,Measles,Cardiovascular,16.67,5.9,3.33,0-18,Other,644192,85.68,1.1,3.81,Medication,46389,No,76.62,3864,2.83,8200,0.42,20.25
Italy,2016,Cholera,Bacterial,13.79,7.27,4.05,61+,Female,765028,75.58,1.61,2.05,Vaccination,31111,No,60.65,3404,9.53,3549,0.51,52.13
Canada,2013,Tuberculosis,Bacterial,12.76,10.52,9.47,19-35,Female,339034,55.27,4.74,7.27,Vaccination,167,Yes,83.36,1640,0.26,20908,0.65,40.58
Saudi Arabia,2018,COVID-19,Viral,13.19,0.41,8.14,0-18,Other,18050,87.31,3.28,3.71,Medication,43623,Yes,57.31,4945,6.01,45584,0.74,64.67
China,2021,Influenza,Respiratory,19.46,1.98,1.69,19-35,Male,243269,88.67,1.25,8.65,Medication,37007,No,85.83,1116,5.31,52984,0.8,82.26
India,2004,HIV/AIDS,Cardiovascular,17.86,14.91,4.08,61+,Female,907244,68.3,2.21,1.58,Vaccination,31005,No,97.5,1371,7.67,79159,0.82,47.8
South Africa,2007,Cancer,Respiratory,14.5,11.74,7.26,19-35,Male,447073,75.36,0.86,2.77,Therapy,26472,No,72.69,4494,3.41,84720,0.67,83.86
Canada,2018,Parkinson's Disease,Autoimmune,9.82,8.78,8.46,19-35,Female,853349,69.34,4.9,8.33,Surgery,22687,No,69.36,2161,7.07,96141,0.45,78.77
Mexico,2023,Measles,Neurological,16.31,1.63,9.58,61+,Male,70335,88.79,4.25,6.41,Vaccination,39757,No,97.71,4947,9.54,23621,0.62,42.37
Saudi Arabia,2017,Hypertension,Bacterial,6.24,7.42,6.71,36-60,Other,926702,82.09,2.23,2.38,Vaccination,27849,No,75.15,55,2.42,63946,0.67,66.39
Brazil,2008,Alzheimer's Disease,Metabolic,0.83,14.13,4.8,36-60,Female,498568,82.61,4.35,9.91,Therapy,5431,No,58.24,1630,1.4,43653,0.66,65.16
USA,2015,Influenza,Parasitic,5.39,11.87,0.18,61+,Female,245103,76.11,4.73,1.18,Therapy,41721,No,73.97,2553,5.0,70241,0.8,30.75
Australia,2010,Asthma,Neurological,15.63,5.56,9.41,19-35,Other,919830,81.05,3.48,7.99,Therapy,18347,No,63.79,1217,5.66,44348,0.51,35.11
South Africa,2022,Malaria,Respiratory,15.37,12.99,5.64,61+,Other,735047,80.84,4.15,9.49,Therapy,45723,No,80.9,528,5.41,48902,0.62,56.94
Saudi Arabia,2012,Ebola,Respiratory,18.21,8.99,9.36,0-18,Other,184881,63.51,4.29,5.16,Vaccination,29105,No,76.46,3928,2.62,82899,0.86,63.42
Saudi Arabia,2004,Diabetes,Chronic,12.92,1.87,3.57,19-35,Female,407628,70.9,1.38,2.26,Vaccination,39456,No,53.1,2631,5.76,73560,0.61,45.77
India,2002,Measles,Metabolic,5.15,11.82,1.46,19-35,Female,985264,84.8,3.76,2.05,Vaccination,47349,Yes,95.7,4451,2.45,22502,0.57,43.64
Italy,2014,Rabies,Autoimmune,5.11,5.82,8.13,36-60,Other,488502,94.57,2.02,9.32,Medication,47721,No,52.94,531,2.36,81454,0.67,23.19
Saudi Arabia,2014,Hepatitis,Viral,13.3,2.43,6.28,0-18,Other,471818,90.99,0.96,2.04,Vaccination,35164,Yes,93.29,3665,1.71,86990,0.67,85.1
Saudi Arabia,2023,Hypertension,Genetic,17.74,4.62,5.8,36-60,Female,577940,88.53,1.04,9.31,Medication,18921,Yes,54.39,4360,7.61,82532,0.64,58.3
Saudi Arabia,2024,Zika,Cardiovascular,2.63,6.79,6.12,0-18,Other,752099,62.48,3.26,6.19,Vaccination,37630,No,53.0,1204,9.8,73308,0.65,61.68
Nigeria,2007,Polio,Parasitic,12.6,14.76,3.58,0-18,Other,948693,91.01,1.56,1.22,Vaccination,43274,Yes,80.41,3504,4.94,30039,0.86,89.2
Nigeria,2012,Parkinson's Disease,Genetic,13.69,4.38,9.23,61+,Male,947266,73.04,2.46,1.96,Therapy,18455,Yes,79.04,2900,2.87,74116,0.64,39.99
Indonesia,2007,Measles,Chronic,18.92,2.32,6.55,61+,Female,86972,54.85,1.24,3.53,Medication,20628,No,74.05,404,4.18,56335,0.42,50.2
USA,2005,Parkinson's Disease,Autoimmune,10.91,5.63,3.89,19-35,Male,108811,82.81,4.23,6.06,Vaccination,24666,Yes,92.74,4493,3.68,726,0.72,34.73
Mexico,2019,Cholera,Bacterial,1.49,13.74,1.16,61+,Female,788943,87.51,2.62,8.25,Surgery,579,Yes,53.2,324,0.08,79126,0.78,81.08
Canada,2007,Leprosy,Autoimmune,16.79,6.67,2.53,19-35,Other,112934,79.26,2.86,5.22,Medication,42934,Yes,59.67,4355,7.07,90728,0.47,54.3
UK,2003,Polio,Autoimmune,7.08,6.26,4.64,0-18,Male,929747,73.58,4.28,5.25,Vaccination,47675,Yes,64.13,1585,3.54,11098,0.59,23.41
South Africa,2006,Alzheimer's Disease,Viral,13.77,3.95,9.0,19-35,Female,367985,90.79,2.43,3.32,Vaccination,45996,No,81.06,1684,6.87,77218,0.46,45.75
Saudi Arabia,2006,Diabetes,Cardiovascular,6.21,6.71,2.05,0-18,Male,461530,72.06,0.83,2.85,Therapy,13928,No,56.14,3403,3.47,49994,0.72,33.01
Canada,2010,Asthma,Respiratory,8.88,5.84,3.41,0-18,Male,294649,72.14,3.74,5.62,Therapy,30643,Yes,52.39,2653,8.53,5100,0.6,30.75
Canada,2022,Tuberculosis,Chronic,17.47,6.95,2.6,61+,Male,651338,67.42,2.75,7.12,Vaccination,18839,No,71.5,433,0.89,22968,0.42,28.68
Germany,2019,Hypertension,Bacterial,8.8,4.35,8.67,0-18,Other,798397,92.37,2.69,4.07,Therapy,6004,Yes,79.83,3517,8.79,34068,0.53,37.72
Mexico,2016,Rabies,Parasitic,7.4,14.01,6.45,19-35,Female,726526,83.06,0.59,8.67,Vaccination,36511,No,97.75,2701,6.03,47484,0.78,55.16
Saudi Arabia,2004,Tuberculosis,Chronic,17.57,8.33,4.77,61+,Male,214664,84.84,1.74,4.61,Medication,41205,Yes,95.31,4975,1.95,59628,0.74,23.47
South Korea,2010,Cancer,Viral,18.33,11.32,9.12,36-60,Female,490044,51.8,0.66,9.55,Medication,16053,Yes,88.7,1377,1.92,66568,0.85,23.97
Italy,2017,Hepatitis,Bacterial,12.96,4.87,3.57,19-35,Female,849005,81.81,2.39,1.65,Therapy,21906,Yes,56.92,243,9.34,82804,0.47,22.54
Italy,2014,Malaria,Viral,14.7,5.23,4.75,36-60,Female,491262,74.5,4.14,4.04,Vaccination,32713,Yes,50.81,1986,3.92,65541,0.66,48.73
India,2016,Hypertension,Respiratory,19.36,5.07,5.52,19-35,Female,723436,79.95,4.72,8.8,Therapy,30683,Yes,56.52,2995,1.06,9015,0.67,87.82
Argentina,2016,Dengue,Chronic,17.38,3.9,3.93,61+,Female,746954,62.92,0.97,3.58,Medication,18311,No,56.74,1698,1.08,43093,0.66,64.07
Mexico,2024,Measles,Cardiovascular,19.67,0.54,8.23,61+,Male,913880,72.44,4.48,4.11,Vaccination,28562,No,52.13,2963,1.53,88063,0.9,57.08
South Korea,2018,Diabetes,Parasitic,14.61,9.5,6.31,19-35,Male,735620,60.59,2.07,2.24,Medication,31099,Yes,69.08,1249,1.57,28545,0.83,38.54
Canada,2000,Hepatitis,Respiratory,11.71,10.92,5.44,36-60,Other,158117,89.76,2.57,6.58,Vaccination,24266,Yes,64.54,3805,9.88,3625,0.74,26.41
China,2014,Malaria,Chronic,7.61,8.18,9.54,19-35,Other,799500,60.21,1.4,3.04,Therapy,29304,Yes,80.65,2951,2.59,72769,0.43,51.17
South Korea,2023,Hypertension,Neurological,18.59,11.33,7.16,61+,Other,664084,77.72,2.68,3.91,Surgery,31011,No,85.37,936,8.39,20704,0.43,47.38
Indonesia,2018,Zika,Parasitic,19.98,2.87,8.23,61+,Other,91622,55.22,0.79,7.66,Therapy,4757,Yes,96.61,4649,8.19,78235,0.57,86.22
Nigeria,2024,Tuberculosis,Genetic,5.48,9.27,3.73,0-18,Male,893689,50.19,2.33,8.56,Vaccination,12520,No,67.24,2737,7.76,52292,0.72,85.51
Mexico,2016,Parkinson's Disease,Cardiovascular,1.95,9.56,5.89,61+,Female,408612,88.23,4.78,5.3,Therapy,47210,No,78.35,358,9.46,7531,0.77,71.7
Turkey,2015,Rabies,Infectious,16.02,5.16,5.77,0-18,Other,780379,73.45,1.74,3.78,Therapy,3036,Yes,65.03,2194,9.66,20353,0.56,58.07
South Africa,2005,Malaria,Autoimmune,9.16,11.52,1.92,0-18,Male,696626,52.8,3.41,0.52,Vaccination,42499,Yes,57.03,2196,5.76,90235,0.45,40.69
Mexico,2020,Rabies,Respiratory,17.8,2.7,9.47,19-35,Female,534333,89.22,3.56,6.72,Therapy,39184,Yes,94.99,4594,9.94,19982,0.75,72.14
UK,2006,Malaria,Neurological,7.75,10.06,9.06,0-18,Female,853192,90.98,1.23,4.54,Vaccination,3451,No,72.54,2035,6.81,9065,0.46,39.78
Australia,2006,Diabetes,Viral,12.93,1.08,3.55,61+,Other,179728,85.92,3.88,4.41,Surgery,7274,Yes,56.52,4447,4.49,43098,0.69,88.59
China,2024,COVID-19,Neurological,13.41,14.84,3.59,61+,Male,348911,99.9,0.54,3.07,Vaccination,38604,Yes,90.81,3344,8.6,63512,0.51,65.46
